Name,Familyname,gender,dob,dod,id,parent1-id,parent2-id
John,Smith,m,1920,,1,,
Mary,Johnson,f,1922,,2,,
Robert,Smith,m,1942,2010,3,1,2
Patricia,Clark,f,1944,2012,4,,
Linda,Smith,f,1945,2019,5,1,2
James,Miller,m,1943,2011,6,,
William,Smith,m,1948,2020,7,1,2
Barbara,Baker,f,1950,2023,8,,
Richard,Smith,m,1952,2016,9,1,2
Susan,Davis,f,1955,2022,10,,
Steven,Smith,m,1957,2018,11,1,2
Carol,Garcia,f,1960,2020,12,,
Michael,Smith,m,1967,,13,3,4
Lisa,Walker,f,1970,,14,,
Elizabeth,Smith,f,1969,,15,3,4
Paul,Hall,m,1968,,16,,
Christopher,Smith,m,1971,,17,3,4
Nancy,Evans,f,1972,,18,,
Karen,Smith,f,1974,,19,3,4
Mark,Adams,m,1975,,20,,
Matthew,Miller,m,1966,,21,5,6
Betty,Nelson,f,1968,,22,,
Donald,Miller,m,1969,,23,5,6
Sandra,Carter,f,1971,,24,,
Ashley,Miller,f,1973,,25,5,6
George,Mitchell,m,1973,,26,,
Brian,Miller,m,1976,,27,5,6
Donna,Perez,f,1976,,28,,
Joshua,Smith,m,1968,,29,7,8
Emily,Roberts,f,1970,,30,,
Jessica,Smith,f,1972,,31,7,8
Edward,Turner,m,1972,,32,,
Kevin,Smith,m,1975,,33,7,8
Amy,Phillips,f,1977,,34,,
Michelle,Smith,f,1978,,35,7,8
Frank,Parker,m,1977,,36,,
Jason,Smith,m,1971,,37,9,10
Sarah,Collins,f,1973,,38,,
Stephanie,Smith,f,1974,,39,9,10
Patrick,Murphy,m,1974,,40,,
Eric,Smith,m,1977,,41,9,10
Angela,Rivera,f,1978,,42,,
Rebecca,Smith,f,1980,,43,9,10
Scott,Cooper,m,1979,,44,,
Gary,Smith,m,1972,,45,11,12
Melissa,Richardson,f,1974,,46,,
Deborah,Smith,f,1975,,47,11,12
Gregory,Ward,m,1974,,48,,
Ronald,Smith,m,1978,,49,11,12
Laura,Cox,f,1980,,50,,
Anthony,Smith,m,1981,,51,11,12
Sharon,Howard,f,1982,,52,,
Andrew,Smith,m,1990,,53,13,14
Janet,Morgan,f,1992,,54,,
Brenda,Smith,f,1993,,55,13,14
Dennis,Bell,m,1991,,56,,
Joshua,Smith,m,1995,,57,13,14
Katherine,Reed,f,1997,,58,,
Rachel,Hall,f,1992,,59,15,16
Jacob,Hayes,m,1991,,60,,
Samuel,Hall,m,1995,,61,15,16
Teresa,Hudson,f,1994,,62,,
Nicole,Hall,f,1998,,63,15,16
Shawn,Daniels,m,1996,,64,,
Tyler,Smith,m,1993,,65,17,18
Julia,Wright,f,1995,,66,,
Heather,Smith,f,1997,,67,17,18
Bryan,Foster,m,1996,,68,,
Dylan,Smith,m,1999,,69,17,18
Tina,Graham,f,2000,,70,,
Cameron,Adams,m,1994,,71,19,20
Megan,Wallace,f,1994,,72,,
Samantha,Adams,f,1996,,73,19,20
Corey,Stone,m,1997,,74,,
Brandon,Adams,m,1998,,75,19,20
Victoria,Payne,f,1998,,76,,
Lauren,Miller,f,1991,,77,21,22
Peter,Sims,m,1992,,78,,
Ethan,Miller,m,1994,,79,21,22
Paula,Mason,f,1996,,80,,
Chloe,Miller,f,1997,,81,21,22
Derek,Fleming,m,1997,,82,,
Alexis,Miller,f,1993,,83,23,24
Mario,Owens,m,1992,,84,,
Trevor,Miller,m,1995,,85,23,24
Cassandra,Fox,f,1995,,86,,
Morgan,Miller,f,1998,,87,23,24
Austin,Hicks,m,1998,,88,,
Mason,Smith,m,2000,,109,51,52
Gabriella,Kim,f,2002,,110,,
Sophie,Smith,f,2004,,111,51,52
Logan,Bennett,m,2005,,112,,
Adam,Smith,m,2015,,113,53,54
Olivia,Smith,f,2017,,114,53,54
Lucas,Smith,m,2018,,115,55,56
Mia,Smith,f,2020,,116,57,58
Noah,Hall,m,2016,,117,59,60
Ava,Hall,f,2017,,118,61,62
Jack,Smith,m,2019,,119,65,66
Emma,Smith,f,2021,,120,67,68
Ella,Adams,f,2018,,121,71,72
Henry,Miller,m,2018,,122,77,78
Sofia,Miller,f,2020,,123,81,82
Logan,Miller,m,2022,,124,85,86
Zoe,Smith,f,2022,,125,109,110
Benjamin,Smith,m,2023,,126,111,112
